Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-2,1,-2,1,0,-2,3,3,3,3,1,1,1,3,3,3,3,1,1,1
-5,1,-4,1,0,-5,7,8,7,8,3,2,1,8,7,8,7,3,2,1
-5,1,-4,1,-1+1w,-4,8,7,8,7,1,2,3,7,8,7,8,1,2,3
-6,1,-8,1,0,-6,16,16,16,16,4,4,4,16,16,16,16,4,4,4
-8,1,-8,1,0,-8,21,21,21,21,4,4,4,21,21,21,21,4,4,4
-10,1,-16,1,0,-10,36,36,36,36,8,8,8,36,36,36,36,8,8,8
-11,1,-10,1,0,-11,23,22,23,22,4,5,6,22,23,22,23,4,5,6
-11,1,-10,1,-1+1w,-10,22,23,22,23,6,5,4,23,22,23,22,6,5,4
-14,1,-16,1,0,-14,48,48,48,48,8,8,8,48,48,48,48,8,8,8
-15,1,-16,1,0,-15,38,38,38,38,8,8,8,38,38,38,38,8,8,8
-15,1,-16,1,-1+1w,-14,38,38,38,38,8,8,8,38,38,38,38,8,8,8
-17,1,-16,1,0,-17,39,42,39,42,11,8,5,42,39,42,39,11,8,5
-17,1,-16,1,-1+1w,-16,42,39,42,39,5,8,11,39,42,39,42,5,8,11
-18,1,-24,1,0,-18,68,68,68,68,12,12,12,68,68,68,68,12,12,12
-20,1,-16,1,0,-20,60,60,60,60,8,8,8,60,60,60,60,8,8,8
-22,1,-40,1,0,-22,108,108,108,108,20,20,20,108,108,108,108,20,20,20
-23,1,-22,1,0,-23,63,60,63,60,8,11,14,60,63,60,63,8,11,14
-23,1,-22,1,-1+1w,-22,60,63,60,63,14,11,8,63,60,63,60,14,11,8
-24,1,-32,1,0,-24,94,94,94,94,16,16,16,94,94,94,94,16,16,16
-26,1,-28,1,0,-26,96,96,96,96,14,14,14,96,96,96,96,14,14,14
-29,1,-28,1,0,-29,81,84,81,84,17,14,11,84,81,84,81,17,14,11
-29,1,-28,1,-1+1w,-28,84,81,84,81,11,14,17,81,84,81,84,11,14,17
-30,1,-32,1,0,-30,120,120,120,120,16,16,16,120,120,120,120,16,16,16
-30,3,-8,3,-2+1w,-9,14,14,14,14,4,4,4,14,14,14,14,4,4,4
-32,1,-32,1,0,-32,117,117,117,117,16,16,16,117,117,117,117,16,16,16
-33,1,-40,1,0,-33,110,110,110,110,20,20,20,110,110,110,110,20,20,20
-33,1,-40,1,-1+1w,-32,110,110,110,110,20,20,20,110,110,110,110,20,20,20
-34,1,-64,1,0,-34,186,186,186,186,32,32,32,186,186,186,186,32,32,32
-35,1,-32,1,0,-35,98,100,98,100,18,16,14,100,98,100,98,18,16,14
-35,1,-32,1,-1+1w,-34,100,98,100,98,14,16,18,98,100,98,100,14,16,18
-38,1,-40,1,0,-38,156,156,156,156,20,20,20,156,156,156,156,20,20,20
-40,1,-64,1,0,-40,204,204,204,204,32,32,32,204,204,204,204,32,32,32
-41,1,-40,1,0,-41,129,126,129,126,17,20,23,126,129,126,129,17,20,23
-41,1,-40,1,-1+1w,-40,126,129,126,129,23,20,17,129,126,129,126,23,20,17
-42,1,-64,1,0,-42,212,212,212,212,32,32,32,212,212,212,212,32,32,32
-44,1,-40,1,0,-44,162,162,162,162,20,20,20,162,162,162,162,20,20,20
-45,1,-48,1,0,-45,154,148,154,148,18,24,30,148,154,148,154,18,24,30
-45,1,-48,1,-1+1w,-44,148,154,148,154,30,24,18,154,148,154,148,30,24,18
-46,1,-88,1,0,-46,270,270,270,270,44,44,44,270,270,270,270,44,44,44
-47,1,-46,1,0,-47,149,148,149,148,22,23,24,148,149,148,149,22,23,24
-47,1,-46,1,-1+1w,-46,148,149,148,149,24,23,22,149,148,149,148,24,23,22
-50,1,-40,1,0,-50,198,198,198,198,20,20,20,198,198,198,198,20,20,20
-51,1,-64,1,0,-51,194,194,194,194,32,32,32,194,194,194,194,32,32,32
-51,1,-64,1,-1+1w,-50,194,194,194,194,32,32,32,194,194,194,194,32,32,32
-53,1,-52,1,0,-53,173,178,173,178,31,26,21,178,173,178,173,31,26,21
-53,1,-52,1,-1+1w,-52,178,173,178,173,21,26,31,173,178,173,178,21,26,31
-54,1,-72,1,0,-54,272,272,272,272,36,36,36,272,272,272,272,36,36,36
-55,1,-80,1,0,-55,232,236,232,236,44,40,36,236,232,236,232,44,40,36
-55,1,-80,1,-1+1w,-54,236,232,236,232,36,40,44,232,236,232,236,36,40,44
-56,1,-64,1,0,-56,234,234,234,234,32,32,32,234,234,234,234,32,32,32
-58,1,-112,1,0,-58,366,366,366,366,56,56,56,366,366,366,366,56,56,56
-59,1,-58,1,0,-59,197,196,197,196,28,29,30,196,197,196,197,28,29,30
-59,1,-58,1,-1+1w,-58,196,197,196,197,30,29,28,197,196,197,196,30,29,28
-60,1,-64,1,0,-60,260,260,260,260,32,32,32,260,260,260,260,32,32,32
-62,1,-64,1,0,-62,276,276,276,276,32,32,32,276,276,276,276,32,32,32
-65,1,-56,1,0,-65,212,214,212,214,30,28,26,214,212,214,212,30,28,26
-65,1,-56,1,-1+1w,-64,214,212,214,212,26,28,30,212,214,212,214,26,28,30
-66,1,-80,1,0,-66,324,324,324,324,40,40,40,324,324,324,324,40,40,40
-66,3,-20,3,-2+1w,-21,44,44,44,44,10,10,10,44,44,44,44,10,10,10
-68,1,-64,1,0,-68,276,276,276,276,32,32,32,276,276,276,276,32,32,32
-69,1,-88,1,0,-69,286,282,286,282,40,44,48,282,286,282,286,40,44,48
-69,1,-88,1,-1+1w,-68,282,286,282,286,48,44,40,286,282,286,282,48,44,40
-70,1,-128,1,0,-70,444,444,444,444,64,64,64,444,444,444,444,64,64,64
-71,1,-70,1,0,-71,249,246,249,246,32,35,38,246,249,246,249,32,35,38
-71,1,-70,1,-1+1w,-70,246,249,246,249,38,35,32,249,246,249,246,38,35,32
-72,1,-96,1,0,-72,350,350,350,350,48,48,48,350,350,350,350,48,48,48
-74,1,-76,1,0,-74,336,336,336,336,38,38,38,336,336,336,336,38,38,38
-77,1,-80,1,0,-77,282,282,282,282,40,40,40,282,282,282,282,40,40,40
